,header_tokens,msg_tokens
3429,"['[', '2020-03-12', ' ', '22:50:18,668', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', '__consumer_offsets-49', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Deleting', ' ', 'segment', ' ', '6395158148', ' ', '(', 'kafka.log.Log', ')']"
3430,"['[', '2020-03-12', ' ', '22:50:18,668', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', '__consumer_offsets-49', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Deleting', ' ', 'segment', ' ', '7987953491', ' ', '(', 'kafka.log.Log', ')']"
3431,"['[', '2020-03-12', ' ', '22:50:18,668', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'log', ' ', '/data/appData/kafka/__consumer_offsets-49/00000000007987953491.log.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3432,"['[', '2020-03-12', ' ', '22:50:18,669', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'log', ' ', '/data/appData/kafka/__consumer_offsets-49/00000000006395158148.log.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3433,"['[', '2020-03-12', ' ', '22:50:18,669', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'offset', ' ', 'index', ' ', '/data/appData/kafka/__consumer_offsets-49/00000000007987953491.index.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3434,"['[', '2020-03-12', ' ', '22:50:18,669', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'offset', ' ', 'index', ' ', '/data/appData/kafka/__consumer_offsets-49/00000000006395158148.index.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3435,"['[', '2020-03-12', ' ', '22:50:18,669', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'time', ' ', 'index', ' ', '/data/appData/kafka/__consumer_offsets-49/00000000007987953491.timeindex.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3436,"['[', '2020-03-12', ' ', '22:50:18,669', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'time', ' ', 'index', ' ', '/data/appData/kafka/__consumer_offsets-49/00000000006395158148.timeindex.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3437,"['[', '2020-03-12', ' ', '22:50:19,139', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', '__consumer_offsets-49', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Deleting', ' ', 'segment', ' ', '7989157579', ' ', '(', 'kafka.log.Log', ')']"
3438,"['[', '2020-03-12', ' ', '22:50:19,160', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'log', ' ', '/data/appData/kafka/__consumer_offsets-49/00000000007989157579.log.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
